Wann?,Ort,Ortsteil,Strasse,Schaden?,Privat,Firma,Gaststätte,Sonstige,Meldung,Ortsdaten  www.gpsies.com/coordinate.do
15.12.2013,Neuenstadt,,Theo-Förch-Straße,,,x,,,"Am Wochenende stiegen unbekannte Täter über ein eingeschlagenes Fenster in ein Lager in Neuenstadt-Kochertürn ein und gelangten von dort in den Personalshop. Sie verließen den Tatort ohne Beute. Das war jedoch nicht der erste Einbruch dieser Art. Bereits Mitte Oktober wurde in die Firma eingebrochen. Damals konnten die Täter etwas Bargeld stehlen. Ob es dieselben Täter waren, ist unklar. Zeugen, die zwischen Freitag und Montag verdächtige Personen oder Fahrzeuge im Bereich der Theo-Förch-Straße gesehen haben, werden gebeten, sich mit dem Polizeiposten Neuenstadt, Telefon 07139 47100, in Verbindung zu setzen.",
16.12.2013,Niedernhall,,Gerberstraße,,x,,,,"An der Haustüre eines Mehrfamilienhauses in der Gerberstraße machte sich ein Unbekannter in der Nacht zum Montag zu schaffen. Seine Versuche, die gut gesicherte Türe aufzubrechen, scheiterten jedoch, weshalb er wieder verschwand. Zurück blieb ein Schaden von einigen Hundert Euro. Zeugen, die etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 07940/8294 beim Polizeiposten melden.",
17.12.2013,Ellhofen,,Grantschener Straße,,,x,,,"Gleich an mehreren Stellen versuchte ein Einbrecher am Dienstag, gegen 23.40 Uhr, in eine Firma in der Grantschener Straße in Ellhofen zu gelangen, bevor er durch einen Zeugen an der Fortsetzung seiner Tat gehindert wurde. Nachdem der Täter sich zunächst erfolglos an der Eingangstür versucht hatte, schlug er die Fensterscheibe daneben ein und gelangte auf diese Weise ins Büro. Er verließ den Raum danach und drückte nun von außen ein weiteres Fenster auf. Kurz danach wurde der Unbekannte wachsamen Zeugen an seiner weiteren Tathandlung gestört. Der Täter floh vermutlich ohne Beute. Sachdienliche Hinweise nimmt die Polizei Weinsberg unter der Tel.Nr.: 07134/9920 entgegen.",
17.12.2013,Massenbach,,Mühlweg,,,,x,,"Ein Laptop und einen Zigarettenautomaten erbeuteten unbekannte Täter, als sie zwischen Montag und Dienstag in eine Gaststätte im Massenbacher Mühlweg einstiegen. Sie schlugen hierfür eine Fensterscheibe ein und gelangten so in die Gasträume. Da der Tatzeitraum noch nicht genauer eingegrenzt werden konnte, müsste sich der Einbruch zwischen Montag 16:00 Uhr und Dienstag 15:15 Uhr stattgefunden haben. Ob etwas gestohlen wurde, ist bislang noch nicht bekannt. Zeugen werden gebeten sich beim Polizeiposten  Leintal unter der Telefonnummer 07138 810630 zu melden.",
17.12.2013,Öhringen,,Austraße,500,,x,,,"In den Tankstellenshop beim Ö-Center wollte ein Unbekannter am Dienstag zwischen 0 und 1 Uhr einbrechen, indem er die gläserne Zugangstüre einzuschlagen versuchte. Dies misslang jedoch, da die Verglasung zwar splitterte, aber standhielt. Zurück blieb ein Schaden von 500 Euro. Bereits in der Nacht zum 5.12. hatte vermutlich derselbe Täter versucht, dort einzudringen und war ebenfalls gescheitert. Zeugen, die etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 07941/9300 beim Polizeirevier melden.",
19.12.2013,Gemmingen,,Daimlerstraße,1.500,,x,,Bäckerei,"In der Nacht von Mittwoch auf Donnerstag wurde in mehrere Bäckereien eingebrochen. Unbekannte Täter wuchteten in Gemmingen, in der Zeit zwischen 21:00 Uhr und 05:00 Uhr, in einer Bäckereifiliale im Freizeitweg ein Fenster auf und gelangten so in den Verkaufsraum. Im Inneren machten sich die Einbrecher an einem Tresor zu schaffen und entwendeten aus diesem Bargeld in einer noch nicht bekannten Höhe. Der dadurch entstandene Sachschaden am Fenster beläuft sich auf etwa 1.500 Euro. Mit brachialer Gewalt wurde auch die Eingangstüre zu einer Bäckerei in der Daimlerstraße in Kirchardt, zwischen 22:00 Uhr und 04:30 Uhr, aufgewuchtet. Ob etwas entwendet wurde, muss noch festgestellt werden. Für sachdienliche Hinweise wenden sich Zeugen bitte an die Polizei Eppingen unter der Telefonnummer: 07262 60950.",
19.12.2013,Kirchardt,,Daimlerstraße,,,x,,Bäckerei,"In der Nacht von Mittwoch auf Donnerstag wurde in mehrere Bäckereien eingebrochen. Unbekannte Täter wuchteten in Gemmingen, in der Zeit zwischen 21:00 Uhr und 05:00 Uhr, in einer Bäckereifiliale im Freizeitweg ein Fenster auf und gelangten so in den Verkaufsraum. Im Inneren machten sich die Einbrecher an einem Tresor zu schaffen und entwendeten aus diesem Bargeld in einer noch nicht bekannten Höhe. Der dadurch entstandene Sachschaden am Fenster beläuft sich auf etwa 1.500 Euro. Mit brachialer Gewalt wurde auch die Eingangstüre zu einer Bäckerei in der Daimlerstraße in Kirchardt, zwischen 22:00 Uhr und 04:30 Uhr, aufgewuchtet. Ob etwas entwendet wurde, muss noch festgestellt werden. Für sachdienliche Hinweise wenden sich Zeugen bitte an die Polizei Eppingen unter der Telefonnummer: 07262 60950.",
19.12.2013,Heilbronn,,Eichelberger Weg,,x,,,,Alle Schubladen und Schränke eines Wohnhauses im Heilbronner Eichelberger Weg durchsuchten bislang unbekannte Täter am Donnerstag. Zwischen 07:45 Uhr und 23:30 Uhr hebelten die Einbrecher ein Fenster auf und gelangten so ins Innere. Offensichtlich wurde jedoch nichts gestohlen. Sachdienliche Hinweise werden durch die Polizei in Heilbronn unter der Telefonnummer 07131 1042500 angenommen.,
19.12.2013,Leingarten,,,2.500,,,x,,"Etwa 2.500 Euro Schaden verursachten bislang unbekannte Täter in der Nacht auf Donnerstag, bei einem Einbruch in das Gebäude des Leingartener Kleintierzuchtvereins. In der Zeit zwischen Mittwoch 19:00 Uhr und Donnerstag gegen 09:00 Uhr schlugen die Unbekannten die Scheibe einer Glastür ein und gelangten so in das Gebäude im Gewann „Im Schmalzet“. Im Inneren wuchteten sie dann mehrere Metallschränke in der Küche und den Nebenräumen auf, wobei eine größere Menge Porzellan zu Bruch ging. Nach bisherigem Kenntnisstand wurde nichts entwendet. Sachdienliche Hinweise werden von der Polizei Schwaigern unter der Telefonnummer 07138 810630 entgegengenommen.",
20.12.2013,Heilbronn,,Gottlieb-Daimler-Straße,,,,x,,Bislang Unbekannte verschafften sich in der Nacht von Donnerstag auf Freitag Zutritt zu der Verkaufs- und Lagerhalle eines Gastro-Service in der Gottlieb-Daimler-Straße. Mehrere Bürotüren wurden aufgehebelt und Bargeld in Höhe von mehreren hundert Euro entwendet. Hinweise über verdächtige Wahrnehmungen bitte an das Polizeirevier Heilbronn unter Telefon 07131 104-2500.,
20.12.2013,Heilbronn,,Wimpfener Weg,,,x,,,"Unbekannte drangen am Freitag in der Zeit zwischen 02.00 bis 03.00 Uhr im Wimpfener Weg gewaltsam in die Verkaufsräume eines Geschäfts ein. Die Täter entwendeten in adidas-Sporttaschen sowie in mitgebrachten großen Kunststofftaschen Schuhe und Handtaschen im Wert von mehreren Tausend Euro. Möglicherweise wurden die Täter bei der Ausführung gestört, da eine zum Abtransport bereit gestellte Kunststofftasche im Eingangsbereich zurück blieb. Hinweise über verdächtige Wahrnehmungen bitte an das Polizeirevier Heilbronn unter Telefon 07131 104-2500.",
20.12.2013,Möckmühl,,Kirchplatz,,,x,,,Bislang Unbekannte gelangten in der Nacht von Donnerstag auf Freitag in ein städtisches Gebäude am Kirchplatz 6. Dort wurden insgesamt sechs Holztüren zu Räumlichkeiten der Musikschule und VHS unter massiver Gewaltanwendung aufgebrochen. Die Täter entwendeten mehrere hundert Euro Bargeld sowie zwei Schlüssel. Hinweise über verdächtige Wahrnehmungen bitte an den Polizeiposten Möckmühl unter Telefon 06298 92000.,
21.12.2013,Bad Rappenau,,Asternweg,,x,,,,Ganz anders in Bad Rappenau im Asternweg dort drangen die Täter mit brachialer Gewalt in eine Wohnung im 1. OG ein. Die Wohnungstüre wurde aufgehebelt und nach durchsuchen der Zimmer Schmuckgegenstände und ein kleiner Tresor mitgenommen. Der Tresor diente den Besitzern zur Aufbewahrung ihrer Unterlagen.,
21.12.2013,Bad Wimpfen,,Eichendorffstraße,,x,,,,Auch in Bad Wimpfen in der Eichendorffstraße nutzen unbekannte Täter die Abwesenheit der Eigentümer zwischen 14.30 Uhr und 17.50 Uhr aus um über ein Fenster einzusteigen. Aus der Wohnung wurden mehrere Armbanduhren gestohlen.,
21.12.2013,Heilbronn,,Bensheimer Straße,,x,,,,In Heilbronn in der Bensheimer Straße entwendeten unbekannte Täter ebenfalls Schmuckgegenstände. Hier waren sie durch Aufhebeln eines Fensters in das Haus gelangt. Auch in diesem  Haus  wurden sämtliche Räume durchsucht. Der Tatzeitraum kann zwischen 15.30 Uhr und 22.00 Uhr eingegrenzt werden.,
21.12.2013,Lauffen,,Ulrichstraße,,x,,,,"In Lauffen in der Ulrichstaße versuchten die Täter mehrfach zwei Wohnungen aufzubrechen. Die Täter gelangten nicht in die Wohnungen, es blieb beim Versuch.",
21.12.2013,Untereisesheim,,Gablonzer Weg,,x,,,,"In Untereisesheim versuchten am Samstag, 21.12.2013, im Gablonzer Weg unbekannte Täter eine Terrassentüre auf zu wuchten. Dabei nutzten sie die Abwesenheit der Eigentümer gegen 19.20 Uhr. Die Täter gelangten nicht in das Gebäude. Die den Sachverhalt aufnehmende Streife überprüfte  auch die Gebäude in der näheren Umgebung und stellte an einem Haus in der Bibershecke fest, dass dort eingebrochen wurde. Hier hatten die Täter ein Fenster aufgehebelt und das Haus komplett nach Wertgegenständen durchsucht. Was genau entwendet wurde kann noch nicht gesagt werden.",
21.12.2013,Untereisesheim,,Görlitzer Straße,,x,,,,Eine Überraschung erlebte auch ein Ehepaar bei ihrer Rückkehr zum Wohnhaus in der Görlitzer Straße am Samstag gegen 19.00 Uhr. Die Haustüre stand offen. Die Täter hatten die Terrassentüre aufgebrochen und ließen sich hier nicht mal durch den anwesenden Hund abschrecken. Diesen fanden die Geschädigten eingesperrt in einem Zimmer. Das Verhalten des Tieres lässt darauf schließen dass es vermutlich betäubt wurde. Auch in diesem Haus  wurden sämtliche Räume des Hauses durchsucht. Ziel waren hier Schmuckgegenstände.,
22.12.2013,Flein,,Ulrichstaße,,,x,,Bäckerei,"In eine Fleiner Bäckerei verschaffte sich ein bislang unbekannter Einbrecher in der Nacht zum Sonntag gewaltsamen Zutritt und durchwühlte sämtliche Schränke und Schubladen. Aus der Küche entwendete er eine Kaffeekasse der Beschäftigten in der sich Bargeld in noch unbekannter Höhe befand. Zeugen, die in der Tatnacht verdächtige Wahrnehmungen gemacht haben, werden gebeten, sich mit der Weinsberger Polizei, Telefon 07134/9920, in Verbindung zu setzen.",
22.12.2013,Lauffen,,Lauffener Straße,,x,,,,"Vermutlich gestört wurden die Täter bei einem Einbruch am Sonntagabend in Brackenheim-Meimsheim. Um in das Wohnhaus in der Lauffener Straße zu gelangen brachen die Unbekannte ein Fenster auf und gelangten so ins Innere. Im Gebäude wurde nichts durchwühlt und offensichtlich auch nichts gestohlen, weshalb es wahrscheinlich ist, dass die Langfinger gestört wurden. Verdächtige Wahrnehmungen in diesem Zusammenhang werden erbeten an die Lauffener Polizei, unter Telefon 07133/2090.",
23.12.2013,Heilbronn,,Heidelberger Straße,,,x,,Bäckerei,"Ein bislang Unbekannter drang in der Zeit von Samstag bis Montag in eine Bäckerei in der Heidelberger Straße ein. Nach Aufhebeln eines Fensters gelangte er in die Verkaufsräume, wo er einen kleinen Schranktresor  mit einem geringen Betrag an Wechselgeld entwendete.",
23.12.2013,Heilbronn,,Cäcilienbrunnenstraße,,,x,,Bäckerei,"In der Zeit von Sonntag, 13.00 Uhr bis Montag, 05.00 Uhr gelangte ein Unbekannter gewaltsam über die Glaseingangstür in die Räumlichkeiten einer Bäckerei in der Cäcilienbrunnenstraße. Auch hier hatte es der Einbrecher auf Bargeld abgesehen. Mit einem geringen Betrag aus der Kaffeekasse verschwand der Täter. Hinweise über verdächtige Wahrnehmungen nehmen die Polizeireviere Böckingen unter Telefon 07131 204060 sowie Heilbronn unter Telefon 07131 104-2500 entgegen.",
23.12.2013,Neuenstadt,,Gymnasiumstraße,,,,,Schule,"Bislang Unbekannte drangen in der Zeit von Samstag bis Montag in das Gebäude der Realschule in der Gymnasiumstraße ein. Die Täter gelangten nach Einschlagen eines Fensters im Erdgeschoss ins Gebäudeinnere. Um in ein Büro zu gelangen, zerstörten sie eine Panzerglasscheibe. Aus dem Büro wurde ein Notebook entwendet. Der angerichtete Sachschaden ist erbheblich. Hinweise über verdächtige Wahrnehmungen nimmt der Polizeiposten Neuenstadt unter Telefon 07139 47100 entgegen.",
23.12.2013,Bretzfeld,,Albert-Fernand-Straße,,x,,,,"In eine Wohnung im ersten Stock eines Wohnhauses in der Albert-Fernand-Straße in Unterheimbach versuchte ein Unbekannter am vergangenen Montag zwischen 6.30 und 16.45 Uhr einzubrechen. Seine Versuche, die Wohnungstüre aufzuhebeln, scheiterten jedoch und der Täter verschwand wieder. Mögliche Zeugen sollten sich unter Tel. 07946/940010 beim Polizeiposten in Bretzfeld melden.",
23.12.2013,Heilbronn,,Andersenstraße,,x,,,,"Ein bislang Unbekannter drang in der Zeit von Freitag bis Montag in ein derzeit unbewohntes Wohngebäude in der Andersenstraße ein. Über ein Kellerfenster gelangte der Einbrecher ins Gebäudeinnere, durchsuchte alle Räumlichkeiten und verschwand mit mehreren kleinen Einrichtungsgegenständen im Wert von etwa 100 Euro. Hinweise über verdächtige Wahrnehmungen nimmt das Polizeirevier Böckingen unter Telefon 07131 204060 entgegen.",
24.12.2013,Gemmingen,,Ringstraße,,x,,,,"Leider ruhten auch am Heilig Abend,  24.12.2013 in der Zeit von 17.15 Uhr und 21.00 Uhr die Langfinger nicht. Unbekannte versuchten zunächst in der Ringstraße an einem Wohngebäude ein Küchenfenster aufzuhebeln. Da dies scheiterte, hebelten sie die Hauseingangstüre an der Westseite des Anwesens auf und gelangten so in das Gebäude. Seltsamerweise durchsuchten der oder die Täter das Erdgeschoß nicht, während sie im Obergeschoß sämtliche Räume und Schränke durchsuchten und den Inhalt teilweise auf den Boden warfen. Nach bisherigen Ermittlungen wurde nichts entwendet. Die unverschlossene Türe zur angebauten Gewerbehalle, in der Baumaschinen untergebracht sind,  wurde zwar geöffnet, anscheinend wurde die Halle aber weder betreten noch durchsucht. Der entstandene Sachschaden wird auf ca. 400 Euro geschätzt. Sachdienliche Hinweise zu dem Fall nimmt das Polizeirevier in Eppingen unter Telefon 07262/60950 entgegen.",
24.12.2013,Heilbronn,,Wormser Straße,,x,,,,"Unbekannte drangen am Heiligabend in ein Wohngebäude in der Wormser Straße ein und entwendeten aus den Küchenräumlichkeiten der dort wohnhaften Familie ein sogenanntes IPad, ein IPhone und ein Laptop sowie Bargeld in Höhe von mehreren hundert Euro. Sämtliche Gegenstände waren auf der Küchenarbeitsplatte im Erdgeschoß abgelegt gewesen. Lediglich ein Teil des Bargeldes wurde aus einer Damenhandtasche, die im Flur hing,  gestohlen.  Wie die Täter in die Wohnung gelangten ist völlig unklar, sämtliche Türen und Fenster wurden auf Einbruchspuren untersucht, es konnten keinerlei Aufbruchspuren erkannt werden. Auch der Hausschlüssel nebst Ersatzschlüssel sind vorhanden. Sachdienliche Hinweise nimmt das Polizeirevier Böckingen unter Telefon 07131/204060 entgegen.",
24.12.2013,Öhringen,,Heilbronner Straße,,,,x,,"Am Heiligen Abend gegen 23.40 Uhr wurde das Polizeirevier Öhringen von einem Wachdienst informiert, dass die Alarmanlage beim Spielcasino im Brenntenstock ausgelöst habe. Nach wenigen Minuten trafen dort mehrere Streifen des Polizeireviers Öhringen ein. Sie stellten fest, dass von bisher unbekannten Tätern die Glaszugangstüre gewaltsam eingedrückt wurde. Im Innenraum waren insgesamt fünf Spielautomaten aufgehebelt worden. Die Bargeldbehälter fehlten. Das gesamte Tatgeschehen spielte sich innerhalb weniger Minuten ab, wobei sich die Täter von der aktivierten Alarmanlage offensichtlich nicht abschrecken ließen. Wie viel Bargeld sich in den Spielautomaten befand, muss erst noch ermittelt werden. Nach bisherigen Erkenntnissen flüchteten die Täter nach Tatausführung in Richtung Heilbronner Straße, Schwöllbronner Weg bzw. Galgenberg. Kurz vor 23.00 Uhr wurde im dortigen Bereich ein silberner Van beobachtet. Möglicherweise handelt es sich hierbei um das von den Tätern benutzte Fahrzeug. Hinweise bitte an die Polizei Öhringen, Tel. 07941/9300.",
25.12.2013,Leingarten,,in der Kleinen Hohle,,,,,Kindergarten,Ein bislang Unbekannter drang in der Zeit von Montag bis Mittwoch gewaltsam in das Gebäude des Kindergartens in der Kleinen Hohle ein. Der Einbrecher gelangte nach dem Einschlagen eines Fensters in die Räumlichkeiten und durchsuchte zahlreiche Schränke. Über entwendete Gegenstände liegen derzeit keine Erkenntnisse vor. Hinweise über verdächtige Wahrnehmungen nimmt der Polizeiposten Leintal unter 07138 810630 entgegen.,
25.12.2013,Bretzfeld,,Galgenbergstraße,,x,,,,"Am Mittwochmorgen gegen 04.15 Uhr erwachten Anwohner in der Galgenbergstraße in Schwabbach durch laute Klopfgeräusche. Das Ehepaar ging nach draußen und erkannte am Nachbargebäude zwei bis drei Personen, die sich an einem Rollladen zu schaffen machten. Einer der vermeintlichen Einbrecher bemerkte das Ehepaar und gab einen lauten Pfiff ab. Daraufhin rannten die Personen in Richtung Forchenweg, stiegen in einen dort abgestellten größeren PKW und fuhren beschleunigt davon. Weitere Hinweise bitte an die Polizei Bretzfeld, Tel. 07946/940010.",
25.12.2013,Mainhardt,,Mönchstraße,,,x,,,"Unbekannte Täter brachen im Zeitraum von Sonntag, 22.12.2013, bis Mittwoch, 25.12.2013, in eine Firma in der Mönchstraße ein. Die Täter durchsuchten anschließend das Gebäude. Nach momentanem Sachstand wurde Münzgeld aus einem Getränkeautomat entwendet; ob noch mehr gestohlen wurde ist noch unklar.",
26.12.2013,Heilbronn,,Allee,,,x,,,"Mit einem Metallblock versuchte ein bislang unbekannter Einbrecher in der Nacht zum Donnerstag die Glastür eines Geschäfts in der Heilbronner Allee einzuwerfen. Diese hielt jedoch Stand, sodass der Einbrecher nicht ins Innere des Gebäudes gelangte. Es entstand ein Sachschaden in Höhe von mehreren hundert Euro. Zeugen, die verdächtige Beobachtungen gemacht haben melden diese an die Heilbronner Polizei, Telefon 07131/104-2500.",
26.12.2013,Nordheim,,Hauptstraße,,,,x,,"Gleich zweimal suchten bislang unbekannte Einbrecher während der Feiertage türkische Schnellrestaurants heim. In der Nordheimer Hauptstraße verschafften sich Unbekannte gewaltsam Zutritt in das Gebäude. Im Gastraum hebelten sie drei Geldspielautomaten auf und entwendeten aus diesen das Münzgeld in noch unbekannter Höhe. An den Geräten selbst dürfte ein Schaden in Höhe von etwa 2.500 Euro entstanden sein. Hinweise bitte an die Lauffener Polizei, Telefon 07133/2090.",
26.12.2013,Nordheim,,Hauptstraße,,,,x,,"Auch in der Weinsberger Hauptstraße versuchten Einbrecher ins Innere eines Imbiss zu gelangen. Über eine unverschlossene Türe gelangten diese zunächst in den Flur eines Wohn- und Geschäftshauses. Dort wurde versucht, die Stahltüre aufzubrechen, was nicht gelang. So mussten die Einbrecher unverrichteter Dinge wieder abziehen. Hinterließen aber einen Sachschaden in Höhe von mehreren hundert Euro. Hinweise bitte an die Weinsberger Polizei, Telefon 07134/9920.",
26.12.2013,Oberstenfeld,,Landesstraße,,x,,,,"In der Zeit zwischen Samstag und Donnerstag suchte ein bislang unbekannter Täter gleich mehrere Gartenhäuser entlang der Landesstraße 1117 im Gewann ""Ochsenweide"" heim. Indem er den Zaun überstieg, gelangte er auf das erste Grundstück und brach ein Fenster am dortigen Gartenhäuschen auf. Anschließend stieg er in das Innere ein, durchwühlte das Inventar und ließ augenscheinlich nichts mitgehen. Im weiteren Verlauf begab er sich auf das benachbarte Grundstück und hebelte das Türschloss des Gartenhauses auf. Dabei fiel ihm ein Notstromaggregat im Wert von etwa 400 Euro in die Hände, das er mitgehen ließ. Der Schaden an der Tür wurde mit ungefähr 1.000 Euro beziffert. Durch Übersteigen eines weiteren Zugangstors gelangte der Unbekannte schließlich auf das nächste Grundstück und begab sich wiederrum zum Gartenhäuschen. Da die Tür nicht verschlossen war, gelangte er mühelos und ohne Schaden anzurichten in den Innenraum und entwendete daraus eine Schnapsflasche von geringem Wert. Die Ermittlungen dauern an. Hinweise nimmt der Polizeiposten Großbottwar, Tel. 07148/1625-0 oder das Polizeirevier Marbach/N. unter Tel. 07144/900-0 entgegen.",
27.12.2013,Heilbronn,,Gruppenbacher Straße,,x,,,,Ein bislang unbekannter Täter brach am vergangenen Freitag in der Zeit zwischen 15.30 und 18.00 Uhr eine Terrassentüre der Gruppenbacher Straße auf und verschaffte sich so Zugang in das Wohnhaus. Lediglich in einem Zimmer durchsuchte der Täter diverse Schränke und Schubladen. Nach ersten Feststellungen der  Wohnungsinhaber wurde vermutlich nichts entwendet.,
27.12.2013,Obereisesheim,,,,x,,,,Am vergangenen Freitag in der Zeit zwischen 10.45 und 20.45 Uhr drang ein bislang unbekannter Täter nach Aufbrechen einer Terrassentüre in ein Einfamilienhaus im südlichen Ortsrand von Obereisesheim  ein. Der Täter durchsuchte im Gebäude zahlreiche Räumlichkeiten. Hierbei fielen dem Täter diverser Schmuck und Münzen in die Hände. Die Schadenshöhe ist derzeit noch nicht bekannt.,
29.12.2013,Künzelsau,,Stuttgarter Straße,,x,,,,"Die Abwesenheit der Bewohner nutzte ein Einbrecher zwischen Samstag 9 Uhr und Sonntagmorgen. Er brach im zweiten Stock eines Wohnhauses in der Stuttgarter Straße die Türe auf und drang in die Wohnung ein. Eine Besucherin der Nachbarwohnung entdeckte gegen 8.30 Uhr die aufgebrochene Türe und verständigte die Polizei. Was genau entwendet wurde, steht zurzeit noch nicht fest. Zeugen, die im Tatzeitraum etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 07940/9400 beim Polizeirevier melden.",
31.12.2013,Oedheim,,Eichenstraße,,x,,,,"Am frühen Dienstagmorgen, 31.12.2013, gegen 00.35 Uhr, bemerkte der Hauseigentümer beim Heimkommen, dass offensichtlich während seiner Abwesenheit in sein Haus in der Eichenstraße in Oedheim eingebrochen worden war. Der oder die Täter waren durch Aufhebeln eines Fensters ins Gebäudeinnere gelangt. Durch die Wucht beim Öffnen ging die komplette Scheibe zu Bruch. Im Haus wurden sämtliche Schränke durchsucht. Die Höhe des Sachschadens und des Diebesgutes lässt sich derzeit noch nicht genau beziffern. Anwohner oder Passanten, die bereits am Montagabend des 30.12.2013 verdächtige Wahrnehmungen gemacht haben, werden gebeten sich telefonisch unter 07132/93710 beim Polizeirevier Neckarsulm zu melden.",
01.01.2014,Künzelsau,,Hauptstraße,,,x,,,"Bereits am Neujahrsmorgen wurde im Künzelsauer Stadtgebiet ein 39 Jahre alter, alkoholisierter Mann durch Angehörige eines Security-Dienstes festgehalten, nachdem er zwei Ausstellungsvitrinen in der Hauptstraße eingeschlagen hatte. Eine Polizeistreife brachte den Tatverdächtigen anschließend zur Dienststelle. Nach den bisherigen Ermittlungen hatte er zuvor die Vitrinenverglasung eines Haushaltswarengeschäfts eingeschlagen. Er ließ hochwertige Töpfe und Pfannen mitgehen, verstaute diese in einem mitgebrachten Plastiksack und machte sich anschließend an einer weiteren Vitrine zu schaffen. Auch diese konnte er öffnen und entnahm daraus Optikzubehör, welches er ebenfalls in seinen Plastiksack legte. Den Zeugen fiel der Mann anschließend auf, weil es aus seinem Sack heraus ""verdächtig klapperte"". Sie wollten den Mann ansprechen, dieser lief jedoch davon uns warf auf der Flucht Teile seiner Beute weg. Den Security-Kräften gelang es, ihn einzuholen und bis zum Eintreffen der Polizei festzuhalten. Nach Abschluss der polizeilichen Maßnahmen musste der bereits einschlägig bekannte Dieb wieder auf freien Fuß gesetzt werden. Der von ihm angerichtete Sachschaden beträgt rund 300 Euro; der Diebstahlsschaden liegt bei etwa 500 Euro.",
01.01.2014,Langenbrettach,,Neudeck,,x,,,,"Einbruch In der Silvesternacht brach ein bislang Unbekannter in ein Haus in Langenbeutingen, ""Neudeck"" ein. Der Täter hatte dazu offenbar ein Fenster eingeschlagen und konnte so in das Innere des Objektes eindringen. Dort suchte er zielstrebig nach Wertgegenständen und Geld. Insgesamt fielen dem Einbrecher mehrere Schmuckstücke, eine Uhr und etwas Bargeld in die Hände. Die Tat wurde erst am Neujahrsmorgen, gegen 03.30 Uhr, entdeckt. Sachdienliche Hinweise nimmt die Polizei Neckarsulm unter der Tel.Nr.: 07132/93710 entgegen.",
01.01.2014,Möckmühl,,Rädlestraße,,x,,,,"Einbruch In der Zeit von Samstag, 29. Dezember 2013, 15.30 Uhr, bis Mittwoch, 01. Januar 2014, 20.00 Uhr, brach ein bislang Unbekannter in ein Wohnhaus in der Züttlinger Rädlestraße ein. Der Einbrecher hatte eine Tür aufgehebelt und konnte so in das Innere des Gebäudes gelangen. Dort wurden sämtliche Zimmer durchsucht. Ob etwas gestohlen wurde, ist momentan noch nicht bekannt. Der angerichtete Sachschaden dürfte sich auf rund 1.000 Euro belaufen. Sachdienliche Hinweise nimmt die Polizei Neckarsulm unter der Tel.Nr.: 07132/93710 entgegen.",
02.01.2014,Eppingen,,Muldenstraße,500,x,,,,"Von Mi auf Do, 01./02.01., 18.30-12.30 Uhr versuchte ein unbekannter Täter das Wohnzimmerfenster einer Einliegerwohnung in der Muldenstraße in Ittlingen aufzuhebeln. Dem Täter gelang es jedoch hierbei nicht, sich Zutritt zur Wohnung zur verschaffen. Der entstandene Sachschaden beträgt ca. 500 Euro. Personen, die Angaben zum Vorfall machen können, werden gebeten, sich mit der Polizei Eppingen (07262-6095-0) in Verbindung zu setzen.",
02.01.2014,Heilbronn,,Marktplatz,1.000,,x,,,"In der Zeit zwischen Di., 31.12.2013 und Do, 02.01.2014, 13.00-09.00 Uhr, versuchte ein unbekannter Täter die Eingangstüre zu einem Reisebüro am Marktplatz aufzuhebeln. Nachdem ihm dies nicht gelang, versuchte er, ein Segment der Glasfront im Eingangsbereich einzuschlagen, so dass hierdurch das Glas teilweise zersplitterte. Der Sachschaden beträgt ca. 1000.- Euro. Personen, die Beobachtungen gemacht haben, werden gebeten, sich mit dem Polizeirevier Heilbronn (07131-104-2514) in Verbindung zu setzen.",
02.01.2014,Ittlingen,,Muldenstraße,,x,,,,"Einbruchsversuch In der Zeit von Mittwoch, 17.30 Uhr, bis Donnerstag, 12.30 Uhr, versuchte ein bislang Unbekannter in eine Wohnung in der Ittlinger Muldenstraße einzubrechen. Der Versuch, ein Fenster aufzuhebeln scheiterte jedoch, sodass der Einbrecher nicht in das Gebäude gelangte. Der angerichtete Sachschaden dürfte mehrere hundert Euro betragen. Sachdienliche Hinweise nimmt die Polizei Eppingen unter der Tel.Nr.: 07262 6095-0 entgegen.",
03.01.2014,Ilsfeld,,König-Wilhelm-Straße,1.200,,x,,Bäckerei,"Über den Hintereingang einer Bäckerei in der König-Wilhelm-Str. verschaffte sich in der Zeit zw. 02. und 03.01, 18.00-05.10 Uhr, ein unbekannter Täter zutritt zu den dortigen Räumlichkeiten. In der Folge gelangte er an Bar- bzw. Wechselgeld des Betriebs i.H.v. 535.-Euro. Der Sachschaden wird auf ca. 700 Euro beziffert. Zeugen, die Angaben zum Vorfall machen können, werden gebeten, sich mit der Polizei Weinsberg (07134-992-0) in Verbindung zu setzen.",
03.01.2014,Künzelsau,,Gaisbacher Straße,,,,x,,"Ein unbekannter Täter versuchte in der Nacht zum Freitag, 03.01., in der Zeit zw. 01.30 und 05.00 Uhr, das Fenster der Toilette einer Gaststätte in der Gaisbacher Straße aufzuhebeln. Nachdem ihm dies in der Folge nicht vollständig gelang, ließ der Täter von einem Einstiegsversuch ab und entfernte sich unverrichteter Dinge. Personen, die Beobachtungen zum Hergang machen können, werden gebeten, sich mit der Polizei Künzelsau (07940-940-421) in Verbindung zu setzen.",
