Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
14.10.2014,Heilbronn,,Kaiserstraße,Arztpraxis,X,,"In die Praxis eines Orthopäden in der Heilbronner Kaiserstraße wollten Unbekannte in der Nacht zum Dienstag einbrechen. Dies misslang, die Türe war zu stabil. Dafür schafften es die Täter, die Türe einer im selben Stockwerk liegenden Augenarztpraxis aufzuhebeln. Aus der Schublade der Empfangstheke nahmen sie zwei Geldkassetten, brachen diese im Wartezimmer auf und entnahmen einen kleineren Betrag an Bargeld. Die Polizei bittet Zeugen, die in der Nacht vom Montag auf Dienstag in der Kaiserstraße im Bereich des Gebäudes Nummer 27 verdächtige Personen oder ein Fahrzeug gesehen haben, werden gebeten, sich mit dem Polizeirevier Heilbronn, Telefon 07131 104-2500, in Verbindung zu setzen."
14.10.2014,Heilbronn,,Kaiserstraße,Arztpraxis,,,"In die Praxis eines Orthopäden in der Heilbronner Kaiserstraße wollten Unbekannte in der Nacht zum Dienstag einbrechen. Dies misslang, die Türe war zu stabil. Dafür schafften es die Täter, die Türe einer im selben Stockwerk liegenden Augenarztpraxis aufzuhebeln. Aus der Schublade der Empfangstheke nahmen sie zwei Geldkassetten, brachen diese im Wartezimmer auf und entnahmen einen kleineren Betrag an Bargeld. Die Polizei bittet Zeugen, die in der Nacht vom Montag auf Dienstag in der Kaiserstraße im Bereich des Gebäudes Nummer 27 verdächtige Personen oder ein Fahrzeug gesehen haben, werden gebeten, sich mit dem Polizeirevier Heilbronn, Telefon 07131 104-2500, in Verbindung zu setzen."
14.10.2014,Heilbronn,,Innsbrucker Straße,Einkaufsmöglichkeit,,,"Auf zahlreiche Trauringe hatten es Einbrecher in der Nacht zum Dienstag in Heilbronn abgesehen. Durch das Aufbrechen eines Fensters sowie einer Tür gelangten die Langfinger ins Innere der Räumlichkeiten eines Geschäfts in der Innsbrucker Straße. Dort entwendeten sie mehrere Trauringe samt Auslage. Die Höhe des Sachschadens ist derzeit noch nicht bekannt. Zeugen, die verdächtige Beobachtungen gemacht haben, mögen sich bei der Polizei unter Telefon 07131 104-2500 melden."
14.11.2014,Heilbronn,Kirchhausen,Kölner Straße,,,,"Unliebsamen Besuch erhielt eine Bewohnerin eines Hauses in der Kölner Straße. Während ihrer Abwesenheit drang in der Nacht zum Freitag, dem 14.11.2014, ein unbekannter Täter in das Gebäude ein, indem er ein Fenster des Wintergartens und des anschließenden Wohnzimmers aufwuchtete. Anschließend durchsuchte der Einbrecher mehrere Räumlichkeiten. Der Umfang und die Höhe des Diebesgutes stehen noch nicht fest. Der Sachschaden beträgt rund 1.000 Euro. Sachdienliche Hinweise nimmt der Polizeiposten Heilbronn-Kirchhausen, Telefon 07066/94010, entgegen."
15.10.2014,Heilbronn,,Herbststraße,Gaststätte,,,"Sachschaden in Höhe von rund 1.500 Euro entstand bei einem Einbruch in eine Gaststätte in der Heilbronner Herbststraße. Unbekannte hebelten am Mittwochmorgen, in der Zeit zwischen 3.20 Uhr und 7.30 Uhr an der Vorderseite des Gebäudes ein Fenster auf und gelangten durch dieses in das Innere. Dort wuchteten sie zwei Geldspielautomaten auf und stahlen das darin befindliche Bargeld. Die Summe der Beute ist bislang unbekannt. Hinweise auf die Täter hat die Polizei keine."
15.10.2014,Heilbronn,,Karlstraße 44,Schule,,,"In der Nacht zum Mittwoch erhielt das Heilbronner Mönchseegymnasium ungebetenen Besuch. Die Täter ließen sich offensichtlich in das Schulgebäude einschließen und brachen später im Lehrerzimmer 29 von 44 Schließfächern auf. Die Beute war wohl enttäuschend für die Langfinger, denn es lagen nur Geldbeträge im Centbereich in den Boxen. Die Täter verließen das Schulgebäude unerkannt."
15.10.2014,Bretzfeld,Unterheimbach,Schulstraße,Vereinsheim,,,"Mit Brachialgewalt gingen Einbrecher in der Nacht zum Mittwoch im Sportheim in der Unterheimbacher Schulstraße vor. Sie zerstörten zunächst die Blecheingangstür zum hinteren Anbau und drangen dann über die Umkleidekabinen zur Sportheimgaststätte vor. Einen Zigarettenautomaten wuchteten sie mit einem Beil auf. In der Küche versuchten sie sich an den verschlossenen Schubladen, scheiterten dann jedoch. Die Täter verließen die Innenräume vermutlich über das Küchenfenster. Der genaue Sach- und Diebstahlschaden steht noch nicht fest. Wer im Zeitraum zwischen dem späten Dienstagabend und Mittwoch, 8.30 Uhr, im Bereich des Tatortes etwas Verdächtiges bemerkt hat, sollte sich beim Polizeiposten Bretzfeld, Telefon 07946 940010, melden."
15.11.2014,Leingarten,,Platanenweg,,,,"Am Samstagnachmittag waren in Leingarten Wohnungseinbrecher unterwegs, welche die kurzzeitige Abwesenheit der Eigentümer ausnutzten, um in die Wohnungen einzubrechen. Im Platanenweg hebelten sie ein Wohnzimmerfenster auf. In sämtlichen Zimmern wurden Schränke und Schubladen durchwühlt. Bislang konnte durch den Geschädigten nur das Fehlen einer Armbanduhr festgestellt werden. In das Nachbarhaus drangen die Täter ebenfalls ein. Sie hebelten die Terrassentüre auf. Auch hier wurden sämtliche Räume durchsucht. Ob etwas entwendet wurde, kann noch nicht gesagt werden."
15.11.2014,Leingarten ,,Eldoradostraße,,,,"In der Eldoradostraße zertrümmerten die Täter die Fensterscheibe des Büros und öffneten dieses. Im Büro und der angrenzenden Wohnung wurden sämtliche Schubladen durchwühlt und der Inhalt auf dem Boden verteilt. Auch hier ist noch nicht bekannt, was die Täter gestohlen haben."
15.11.2014,Talheim,,Hauptstraße,Gaststätte,,,"Bislang unbekannter Täter hebelte im Tatzeitraum zwischen Freitag, den 14.11.2014, ca. 14:30 Uhr und Samstag, den 15.11.2014, ca. 11:10 Uhr ein Fenster der Gaststätte ""Treffpunkt Steige"" in der Talheimer Hauptstraße auf und stieg in den Gastraum ein. In der Gaststätte wuchtete der Täter zwei Geldspielautomaten auf. Da die Gaststätte schon seit Tagen ge-schlossen ist, befand sich kein Bargeld mehr in den Spielautomaten. An den Automaten entstand ein Sachschaden in Höhe von insgesamt ca. 700 Euro. Entwendet wurde sonst nichts."
15.12.2014,Heilbronn,Böckingen,Ludwigsburger Straße ,,,,"In der Zeit von Freitag, 9.30 Uhr, bis Montag, 14.45 Uhr, gelangte ein bislang unbekannter Täter in eine Wohnung in der Ludwigsburger Straße in Heilbronn-Böckingen. Der Einbrecher durchsuchte sämtliche Räumlichkeiten und schnappte sich aus zwei Behältnissen Schmuck von geringerem Wert. Zeugen, die zur Tatzeit verdächtige Beobachtungen gemacht haben, sollten sich an die Polizei in Heilbronn-Böckingen, Telefon 07131 31388, wenden."
15.12.2014,Obrigheim,,Schloßwiese ,Firmengelände,,,"Ein bislang unbekannter Täter verschaffte sich am Montag, gegen 0.15 Uhr, Zugang zu einer Lackiererei in der Obrigheimer Schloßwiese. Vermutlich durch ein gekipptes Werkstattfenster stieg der Einbrecher in das Gebäude ein. Hierbei ließ er zwei Lackierpistolen der Marke Sata Minijet im Wert von je 500 Euro mitgehen. Nach den ersten Erkenntnissen kann der Täter als männlich, sportlich und kräftig beschrieben werden. Er war während der Tatzeit wohl mit einer Jeans und einer sogenannten ""Bomberjacke"" bekleidet, zudem könnte er einen schmalen Kinnbart getragen haben. Zeugenhinweise erbittet die Polizei in Mosbach-Diedesheim unter Telefon 06261 67570."
16.10.2014,Dörzbach,,Mühlgartenweg 8,Schule,,,"Einbrecher richteten in der Dörzbacher Grundschule im Mühlgartenweg vermutlich in der Nacht zum Donnerstag erheblichen Sach- und Diebstahlschaden an. In der Zeit zwischen Mittwoch, 18 Uhr, und Donnerstag, 7:30 Uhr, verschafften sie sich über ein Ostfenster des Gebäudes gewaltsam Zugang zu einem im Erdgeschoß gelegenen Klassenraum. Daraus erbeuteten sie mehrere elektronische Geräte, unter anderem einen Beamer, Kameras, Diktiergeräte, einen Flachbildschirm und eine PC-Tastatur sowie Werkzeuge und Schreibmaterial und beschädigten die Zimmertür. In drei weiteren Räumen vergossen sie Stempelfarbe auf Boden, Wänden und Decke und gossen Reinigungsmittel aus. Anschließend suchten sie mit ihrer Beute das Weite. Möglicherweise haben Anwohner oder Passanten in der Tatnacht verdächtige Beobachtungen gemacht. Die Polizei in Krautheim nimmt unter der Telefonnummer 06294 234 entgegen."
16.11.2014,Bad Rappenau,Bonfeld,Im Buchäckerring,Firmengebäude,,,"Über den Zaun eines Betriebsgeländes in Bad Rappenau-Bonfeld stiegen Unbekannte am vergangenen Wochenende und gelangten so an das Bürogebäude der Firma im Buchäckerring. Dort schlugen sie ein Fenster ein und gelangten durch dieses ins Innere. Sie fanden mehrere Hundert Euro Bargeld aus zwei verschiedenen Kassen. Danach legten sie einen Zettel auf die ausgeräumte Getränkekasse auf den sie ""Ha Ha"" geschrieben hatten. Am Ende nahmen die Täter einen Feuerlöscher und versprühten dessen Inhalt. Neben dem Verlust der Beute und dem angerichteten Sachschaden kommen nun auch noch mindestens 2.000 Euro für die Reinigungsarbeiten auf die Firma zu."
16.11.2014,Ellhofen,,Heilbronner Straße,,,,"Mit der Bearbeitung eines Einbruchsdeliktes ist derzeit die Polizei Weinsberg befasst. In der Nacht zum Sonntag, hatte ein bislang Unbekannter die Fensterscheibe eines Wohnhauses in der Heilbronner Straße in Ellhofen gewaltsam geöffnet und konnte so in das Innere des Gebäudes gelangen. Mehrere Behältnisse wurden von dem Einbrecher durchsucht. Ob etwas gestohlen wurde, steht bislang noch nicht fest. Auch ein Haus in der unmittelbaren Nachbarschaft blieb in dieser Nacht nicht unbehelligt. Hier brach der Täter ebenfalls ein Fenster auf und drang in das Gebäude ein. Bei seiner Diebestour konnte der Einbrecher mehrere Münzen und etwas Bargeld erbeuten. Personen, die in der Tatnacht im Bereich der Heilbronner Straße verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07134 992-0 mit der Polizei Weinsberg in Verbindung zu setzen."
16.12.2014,Weinsberg,,Entengasse ,,X,,"Am Dienstag, in der Zeit von 16.30 Uhr bis 17.15 Uhr, schlug ein bislang Unbekannter das Fenster eines Wohnhauses in der Entengasse ein und versuchte, in das Innere des Gebäudes zu gelangen. Allerdings scheiterte dieses Vorhaben. Der Täter hinterließ einen Sachschaden von mehreren hundert Euro."
16.12.2014,Lehrensteinsfeld,,Carl-Dietzsch-Straße 28,Schule,X,,"Ein bislang Unbekannter versuchte in der Zeit von Montagabend bis Dienstagmorgen in die Lehrensteinsfelder Grundschule in der Carl-Dietzsch-Straße einzubrechen. Der Täter beabsichtigte, die Eingangstüre der Schule aufzuwuchten, was ihm jedoch misslang. Hierbei verursachte er einen Sachschaden von rund 100 Euro. Zeugenhinweise gehen an die Weinsberger Polizei, Telefon 07134 992-0."
16.12.2014,Weinsberg,,Schlesienstraße ,,,,"Ebenfalls am Dienstag, in der Zeit von 15.00 Uhr bis 19.00 Uhr, wurde in der Weinsberger Schlesienstraße ein Wohngebäude von einem Einbrecher heimgesucht. Der Täter hatte hier eine Scheibe eingeschlagen und konnte so in das Innere des Gebäudes gelangen. Dort durchwühlte der Eindringling mehrere Behältnisse, wurde vermutlich jedoch nicht fündig."
17.10.2014,Ilsfeld ,Helfenberg,,,X,,Bislang unbekannte Täter verschafften sich am vergangenen Freitag zwischen 16.25 Uhr und 20.00 Uhr durch Aufbrechen einer Haustüre Zugang zu einem Mehrfamilienhaus in der Ortsmitte von Ilsfeld-Auenstein. Im Gebäude brachen die Einbrecher die Wohnungsabschlusstüren zweier Wohnungen auf. In einer Wohnung fiel den Täter Schmuck im Wert von etwa 500 EURO in die Hände. Im gleichen Zeitraum versuchten aller Wahrscheinlichkeit nach die gleichen Täter in ein Wohngebäude in Ilsfeld-Helfenberg einzudringen. Dort versuchten sie vergeblich eine Balkontüre und sowie eine Wohnungseingangstüre aufzubrechen.
17.10.2014,Ilsfeld,Auenstein,,,,,Bislang unbekannte Täter verschafften sich am vergangenen Freitag zwischen 16.25 Uhr und 20.00 Uhr durch Aufbrechen einer Haustüre Zugang zu einem Mehrfamilienhaus in der Ortsmitte von Ilsfeld-Auenstein. Im Gebäude brachen die Einbrecher die Wohnungsabschlusstüren zweier Wohnungen auf. In einer Wohnung fiel den Täter Schmuck im Wert von etwa 500 EURO in die Hände. Im gleichen Zeitraum versuchten aller Wahrscheinlichkeit nach die gleichen Täter in ein Wohngebäude in Ilsfeld-Helfenberg einzudringen. Dort versuchten sie vergeblich eine Balkontüre und sowie eine Wohnungseingangstüre aufzubrechen.
17.10.2014,Neuenstadt,,Öhringer Straße,Firmengebäude,,,Neuenstadt am Kocher: Einbruch in Firmengebäude Bislang unbekannte Täter verschafften sich in der Nacht zum vergangenen Freitag durch Aufbrechen eines Fensters Zugang zu einem Lagergebäude einer Firma im Industriegebiet zwischen Öhringer Straße und Kocher. Die Täter entwendeten Armaturen sowie Werkmaschinen im Gesamtwert von etwa 20.000 EURO.
17.11.2014,Erlenbach,,Friedenstraße,,X,,"Ein Wohnhaus in der Erlenbacher Friedenstraße war in der Zeit von Samstag bis Montag das Ziel eines unbekannten. Der Täter hatte versucht, sich durch ein aufgebrochenes Fenster gewaltsam Zutritt zu dem Gebäude zu verschaffen. Glücklicherweise gelang es dem Einbrecher nicht, in das Haus zu gelangen. Die Höhe des angerichteten Sachschadens ist bislang noch nicht bekannt. Personen, die am vergangenen Wochenende im Bereich des Tatortes verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07132 9371-0 mit der Polizei Neckarsulm in Verbindung zu setzen."
17.11.2014,Neckarsulm,Obereisesheim,Südstraße,,X,,"Im Laufe des Montags versuchten Unbekannte in ein Haus in Neckarsulm-Obereisesheim einzubrechen. Da die automatischen Rollläden noch geöffnet waren müssen die Täter noch zur Tageszeit versucht haben, die Terrassentüre des Gebäudes in der Südstraße aufzuwuchten. Es blieb allerdings beim Versuch."
17.11.2014,Heilbronn,,Sülmerstraße,Gaststätte,,,"Cola, Champagner und andere Getränke sowie etwas Bargeld aus einem Bedienungsgeldbeutel waren die Beute von Unbekannten, die in der Nacht zum Montag in eine Gaststätte am Heilbronner Marktplatz einbrachen. Die Täter gingen zunächst in den frei zugänglichen Innenhof an der Ecke Falken-/Sülmerstraße. Dort öffneten sie eine hölzerne Sichtschutzwand und gelangten ans Gebäude, wo sie ein Fenster aufbrachen, durch das sie einsteigen konnten. Hinweise auf die Einbrecher hat die Polizei keine."
17.11.2014,Hardthausen,Kochersteinsfeld,Schafhausweg,,,,"Im Hardthausener Ortsteil Kochersteinsfeld gelang es Einbrechern, in ein Wohnhaus im Schafhausweg einzusteigen. Die Unbekannten hebelten am Montag in der Zeit zwischen 16 und 19 Uhr ein Fenster an dem Einfamilienhaus auf und gelangten so ins Innere. Dort durchwühlten sie Schränke und Kommoden. Ob etwas gestohlen wurde ist noch unklar."
17.11.2014,Leingarten,Großgartach,Heimstättenstraße,,,,"Etwas Bargeld und ein Tablett der Marke Samsung war die Beute von Einbrechern in Leingarten-Großgartach. Die Täter wuchteten am Montag, in der Zeit zwischen 14.30 Uhr und 21 Uhr, die Terrassentüre eines Einfamilienhauses in der Heimstättenstraße auf. In allen drei Etagen durchwühlten sie Schränke und Kommoden."
17.12.2014,Neuenstein,,Erbsenberg ,,X,,"Auch in Neuenstein versuchte ein Unbekannter am Mittwoch, zwischen 15 und 21:30 Uhr, die Tür eines Wohnhauses im Erbsenberg aufzubrechen. Dazu montierte er den kompletten Türgriff ab und wollte womöglich mit dem Fuß, die Tür einzutreten. Diese hielt jedoch Stand, weshalb der Täter vermutlich von seinem Vorhaben abließ."
17.12.2014,Öhringen,,Haller Straße ,,X,,"Glücklicherweise nicht ins Innere der Häuser gelangten zwei bislang unbekannte Einbrecher in Neuenstein sowie in Öhringen. Vermutlich in der Nacht auf Mittwoch versuchte sich ein Einbrecher gewaltsam Zutritt in die Räumlichkeiten eines Wohnhauses in der Haller Straße in Öhringen zu verschaffen. Mit einem Werkzeug versuchte wollte der Täter die Tür aufzubrechen, was ihm jedoch misslang. Er richtete jedoch einen Schaden von mehreren hundert Euro an."
17.12.2014,Lehrensteinsfeld,,Lehrener Straße,,,,"Auf ein Wohnhaus in der Lehrensteinsfelder Lehrener Straße hatte es am Mittwoch, in der Zeit von 17.20 Uhr bis 18.45 Uhr, bislang Unbekannte abgesehen. Die Täter hatten eine Tür aufgebrochen und konnten so in das Innere des Gebäudes gelangen. Hierbei ließen die Einbrecher einen schweren Tresor mit Münz- und Briefmarkensammlungen von noch nicht bekanntem Wert mitgehen. Der Tresor wurde vermutlich über die Terrasse an den Straßenrand gebracht und dort in ein Fahrzeug verladen. Personen, die am Mittwochabend im Bereich des Tatortes verdächtige Beobachtungen machen konnten oder denen der Verladevorgang des Tresors aufgefallen ist, werden gebeten, sich mit der Kriminalpolizei Heilbronn unter der Tel.Nr.: 07131 104-4444 in Verbindung zu setzen."
18.10.2014,Forchtenberg,,Allmand,Einkaufsmöglichkeit,,,"In der Nacht von Freitag auf Samstag brachen unbekannte Täter in ein Autohaus in der Straße Allmand ein. Zunächst versuchten sie eine Glasscheibe an der Gebäudenordseite mit einem Glasschneider zu öffnen, was allerdings misslang. Erfolgreich wuchteten die Täter dann eine Eingangstüre an der Seite auf. Erbeuten konnten die Täter dann eine geringe Menge Bargeld aus der Registrierkasse und Zigaretten und Tabakwaren im Wert von mehreren tausend Euro. Hinweise bitte an das Polizeirevier Künzelsau unter Tel.Nr. 07940/9400"
18.11.2014,Weinsberg,,Traubenplatz ,,X,,"Ein Gebäude am Weinsberger Traubenplatz war am Dienstag, in der Zeit von 06.00 Uhr bis 07.15 Uhr, das Ziel eines Unbekannten. Der Täter hatte versucht, mit einem Gegenstand die Eingangstür aufzuwuchten, was ihm jedoch nicht gelang. Vermutlich wurde der Einbrecher gestört, sodass er von seinem weiteren Vorhaben abließ und flüchtete. Der angerichtete Sachschaden beträgt mehrere hundert Euro. Sachdienliche Hinweise nimmt die Weinsberger Polizei unter der Tel.Nr.: 07134 992-0 entgegen."
18.11.2014,Heilbronn,,Friedrich-Dürr-Straße,,X,,"In der Heilbronner Friedrich-Dürr-Straße entdeckte eine Bewohnerin an ihrer Hauseingangstüre Aufbruchspuren. Die Täter wurden offensichtlich gestört, denn sie gelangten nicht ins Innere. Die Geschädigte hatte zwei bis drei Wochen zuvor einen Fremden bemerkt, der sein Fahrrad vor dem Haus abgestellt hatte und sich rund fünf Minuten lang umsah."
18.11.2014,Neuenstein,,Windmühle 3,Vereinsheim,,,"Vermutlich in der Nacht zum Dienstag verschafften sich Unbekannte gewaltsam Zugang zum Neuensteiner Sportheim in der Straße Windmühle. Sie gelangten über die untere Zugangstür ins Treppenhaus und wuchteten dort einen Zigarettenautomaten von der Wand. Die Einbrecher nahmen diesen komplett mit. Der Diebstahl- und Sachschaden muss noch ermittelt werden. Wer in der Zeit zwischen Montag, 20.45 Uhr, und Dienstag, 07.40 Uhr, etwas Verdächtiges im Bereich des Sportplatzes bemerkt hat, sollte sich beim Polizeirevier Öhringen melden. Die Polizei nimmt unter der Telefonnummer 07941 9300 Hinweise zu der Tat entgegen."
18.11.2014,Bad Wimpfen,,Erich-Sailer-Straße,,,,"Mit der Bearbeitung eines Einbruchsdeliktes ist derzeit die Polizei Bad Wimpfen befasst. Ein bislang Unbekannter hatte in der Zeit von Donnerstag, 13. November bis Dienstag, 18. November 2014 die Scheibe eines Wohnhauses in der Bad Wimpfener Erich-Sailer-Straße eingeschlagen und konnte so in das Innere des Gebäudes gelangen. Dort wurden mehrere Wohnungen durchsucht. Was dem Täter dabei in die Hände fiel, steht derzeit noch nicht fest. Personen, welche während des Tatzeitraumes im Bereich des Tatortes verdächtige Wahrnehmungen machen konnten oder sachdienliche Hinweise zu dem oder den Tätern geben können, werden gebeten, sich unter der Tel.Nr.: 07063 9334-0 mit der Wimpfener Polizei in Verbindung zu setzen."
18.11.2014,Ellhofen,,Eulenbergstraße,,,,"In Ellhofen erhielt ein Mehrfamilienhaus in der Eulenbergstraße ungebetenen Besuch. In der Zeit zwischen Montag, 14.30 Uhr und Dienstagnacht, 1.40 Uhr, brachen die Unbekannten auf der Gebäuderückseite das Küchenfenster der Einliegerwohnung auf und stiegen ein. In der Wohnung durchsuchten sie alle Schränke und erbeuteten Bargeld, Schmuck und weißes Tablett der Marke APPLE. Die Kripo Heilbronn bittet Zeugen, tatverdächtige Personen oder Fahrzeuge zu melden. Es wird auch gebeten, dass sich Anwohner die Kennzeichen der Fahrzeuge von verdächtigen, eventuell die Wohngebiete ausspähenden Personen zu notieren. Telefonischer Ansprechpartner ist die Kriminalpolizei Heilbronn, Telefon 07131 104-4444."
18.12.2014,Öhringen ,,Büttelbronner Straße,,X,,Ebenfalls an einem Hintereingang des Notariats versuchte ein Unbekannte ins Gebäude zu gelangen. Das Vorhaben scheiterte jedoch. Der Täter hinterließ jedoch Sachschaden in unbekannter Höhe.
18.12.2014,Heilbronn,,Kleingartacher Straße ,,X,,"Auf ein Wohnhaus in der Kleingartacher Straße in Heilbronn hatte es am Donnerstag, gegen 03.00 Uhr, ein bislang Unbekannter abgesehen. Der Täter versuchte gewaltsam in das Gebäude einzudringen, was ihm jedoch nicht gelang. Vermutlich wurde der verhinderte Einbrecher durch einen Hausbewohner gestört, sodass er von seinem weiteren Vorhaben abließ und unerkannt verschwand. Sachdienliche Hinweise nimmt die Polizei Heilbronn-Böckingen unter der Tel.Nr.: 07131 20406-0 entgegen."
18.12.2014,Neckarsulm,,Finkenweg,,X,,"Gerade noch rechtzeitig wurde am Donnerstag, gegen 17.00 Uhr bemerkt, dass drei Personen sich an der Balkontür eines Hauses im Neckarsulmer Finkenweg zu schaffen machten. Noch bevor das Trio die Wohnung betreten konnte, wurde der Wohnungsbesitzer auf dessen Absichten aufmerksam. Die drei flüchteten sofort durch den Garten auf die Hezenbergstraße in Richtung Innenstadt. Die Flüchtenden waren etwa 25 Jahre alt, hatten eine normale Statur und waren rund 175 cm groß. Einer davon war mit einer blaufarbenen Daunenjacke bekleidet. Sachdienliche Hinweise nimmt die Polizei Neckarsulm unter der Tel.Nr.: 07132 9371-0 entgegen."
18.12.2014,Öhringen,,Schillerstraße,,,,"Auf Bargeld hatte es ein bislang Unbekannter bei einem Einbruch, in der Nacht auf Donnerstag, in Öhringen abgesehen. Nachdem der Täter eine Hintertür des Gebäudes in der Schillerstraße aufgebrochen hatte, gelangte er in den zweiten Stock des Hauses und brach dort die Eingangstür zu einer physiotherapeutischen Praxis auf. Auch dort öffnete er mit brachialer Gewalt eine Schublade und entwendete Bargeld. Auch ein Sparschwein das auf dem Tresen stand, fiel dem Einbrecher zum Opfer. Nachdem er dieses geöffnet hatte, entwendete er aus diesem das Geld. Die Höhe des Diebesguts ist nicht bekannt. Der Unbekannte hinterließ einen Schaden in Höhe von mehreren hundert Euro. Ob die Tat etwas mit einem Einbruchsversuch in derselben Nacht in der Büttelbronner Straße in Öhringen zu tun hat, kann bislang nur vermutet werden. Ebenfalls an einem Hintereingang des Notariats versuchte ein Unbekannte ins Gebäude zu gelangen. Das Vorhaben scheiterte jedoch. Der Täter hinterließ jedoch Sachschaden in unbekannter Höhe. Zeugen des jeweiligen Vorfalls oder Personen, die sachdienliche Hinweise geben können, sollten sich unter Telefon 07941 930-0 melden."
18.12.2014,Heilbronn,,Wollhausstraße ,,,,"Eine Wohnung in der Heilbronner Wollhausstraße war am Donnerstag, in der Zeit von 15.30 Uhr bis 18.00 Uhr, das Ziel eines Unbekannten. Der Täter hatte ein Tür gewaltsam geöffnet und sich so Zugang zu den Räumlichkeiten verschafft. Dort durchwühlte der Einbrecher sämtliche Behältnisse. Nach dem bisherigen Ermittlungsstand wurde vermutlich nichts gestohlen. Der Höhe des angerichteten Sachschadens ist nicht bekannt. Sachdienliche Hinweise zur Tat nimmt die Polizei Heilbronn unter der Tel.Nr.: 07131 104-2500 entgegen."
19.10.2014,Züttlingen,,Mergentheimer Straße,Einkaufsmöglichkeit,,,"In der Nacht zum Sonntag, schlug ein unbekannter Täter , die Scheibe einer Tankstelle in der Mergentheimer Straße ein. Der Täter fand allerdings nichts vor, da die Tankstelle gerade renoviert wurde und keine Wertsachen enthielt. Durch das Einbruchsgeräusch wurden die Gebäudebesitzer geweckt. Sie entdeckten den Täter unweit in einem Gebüsch. Die Hausbesitzer bewarfen den ungebetenen Besuch vom Balkon aus mit Tassen und Steinen. Der Einbrecher wurde in die Flucht geschlagen. Er floh mit einem schwarzen PKW in Richtung Möckmühl. Auf der Flucht, an der Bahnunterführung auf halber Strecke nach Möckmühl, kam er auf die Gegenfahrbahn und drängte einen entgegenkommenden PKW in die Leitplanke. Zu einer Berührung der Fahrzeuge kam es nicht. Der Einbrecher setzte seine Flucht ohne anzuhalten fort und konnte unerkannt entkommen."
19.10.2014,Öhringen,,Austraße,Firmengelände,,,"Sonntag, gegen 01.50 Uhr, brachen unbekannte Täter in ein Lagerhaus in der Austraße ein. Sie trennten einen Zaun auf und gelangten dadurch auf das Firmengelände. Dort brachen sie dann eine Holztüre auf und verschafften sich so Zutritt in das Lagerhaus. Die Täter erbeuteten mindestens 20 Neureifen. Kurz vor Eintreffen mehrerer Polizeistreifen konnten die Täter unerkannt flüchten. Auf der Flucht löste ein Alarm an der Firma aus. Hinweise bitte an das Polizeirevier Öhringen unter der Tel.Nr. 07941/9300"
19.10.2014,Criesbach,,Niedernhaller Straße,,,,"In der Nacht von Samstag auf Sonntag, brachen unbekannte Täter in ein Wohnhaus in der Niedernhaller Straße ein. Der Einbruch wurde vom heimkehrenden Hausbesitzer gegen Mitternacht entdeckt. Die Einbrecher konnten diverse Schmuckstücke im Wert von mehreren tausend Euro aus dem Schlafzimmer erbeuten. Hinweise an das Polizeirevier Künzelsau unter Tel.Nr. 07940/9400"
19.11.2014,Neckarsulm,,Gymnasiumstraße,,,,"Eine als Unterkunft ausgebaute Gartenlaube in der Neckarsulmer Gymnasiumstraße, war am Mittwoch, in der Zeit von 19.00 Uhr bsi 21.30 Uhr, das Ziel eines Unbekannten. Der Täter hatte dort eine Tür aufgebrochen und sich so Zugang verschafft. Im Inneren durchwühlte der Einbrecher sämtliche Behältnisse und ließ etwas Bargeld und eine Schachtel Zigaretten mitgehen. Der angerichtete Sachschaden beträgt mehrere hundert Euro. Sachdienliche Hinweise zum Einbruch nimmt die Polizei Neckarsulm unter der Tel.Nr.: 07132 9371-0 entgegen."
19.11.2014,Öhringen,,Pfaffenmühlweg,Gaststätte,,,"Auf Bargeld sowie ein Notebook hatte es ein bislang unbekannter Einbrecher am frühen Mittwoch in Öhringen abgesehen. Im Zeitraum zwischen 3 Uhr und 5 Uhr gelangte der Unbekannte über ein gekipptes Fenster in die Räumlichkeiten einer Stadiongaststätte im Pfaffenmühlweg. Im Inneren des Lokals brach der Täter eine Tür auf und durchstöberte das Mobiliar nach möglicher Beute. Dabei fielen ihm mehrere hundert Euro Bargeld in die Hände. Weiterhin entwendete er ein Notebook der Marke HP, Typ Pavillon, im Wert von ebenfalls mehreren hundert Euro. Am Gebäude richtete der Einbrecher zudem einen Schaden in Höhe von etwa 1.000 Euro an. Zeugenhinweise werden erbeten an die Öhringer Polizei unter Telefon 07941 930- 0."
19.12.2014,Leingarten,Großgartach ,Heuchelbergstraße,,,,"Am vergangenen Freitag, in der Zeit zwischen 14.00 - 22.00 Uhr gingen Einbrecher ein Wohnobjekt in Leingarten-Großgartach in der Heuchelbergstraße an. Offenbar brachen die Einbrecher die rückwärtige Terrassentüre auf und gelangten so in die Wohnräume des Hauses. Hier durchwühlten sie alles und durchsuchten sämtliche Räumlichkeiten. Da sich die Eigentümerin z. Zt. im Ausland aufhält ist bislang noch nicht klar, was alles entwendet wurde. Sachdienliche Hinweise zu diesem Fall, nimmt das Polizeirevier in Lauffen unter Telefon 07133/9920 entgegen."
